Year,Driver,Car Number,Car Manufacturer,Wins
1949,Red Byron,22,Oldsmobile,2
1950,Bill Rexford,60,Ford,0
1950,Bill Rexford,8,Mercury,0
1950,Bill Rexford,20,Oldsmobile,0
1950,Bill Rexford,59,Oldsmobile,0
1950,Bill Rexford,62,Oldsmobile,0
1950,Bill Rexford,80,Oldsmobile,0
1950,Bill Rexford,60,Oldsmobile,1
1951,Herb Thomas,6,Hudson,1
1951,Herb Thomas,92,Hudson,4
1951,Herb Thomas,99,Oldsmobile,0
1951,Herb Thomas,2,Oldsmobile,1
1951,Herb Thomas,92,Plymouth,1
1952,Tim Flock,91,Hudson,8
1953,Herb Thomas,92,Hudson,12
1954,Lee Petty,42,Chrysler,7
1954,Lee Petty,100,Oldsmobile,0
1955,Tim Flock,2,Chevrolet,0
1955,Tim Flock,16,Chrysler,0
1955,Tim Flock,301,Chrysler,3
1955,Tim Flock,300,Chrysler,15
1956,Buck Baker,0,Chrysler,0
1956,Buck Baker,301,Chrysler,1
1956,Buck Baker,87,Chrysler,2
1956,Buck Baker,300,Chrysler,6
1956,Buck Baker,87,Dodge,1
1956,Buck Baker,502,Dodge,1
1956,Buck Baker,500,Dodge,3
1956,Buck Baker,31,Ford,0
1956,Buck Baker,87,Ford,0
1957,Buck Baker,87,Chevrolet,10
1958,Lee Petty,42,Oldsmobile,7
1959,Lee Petty,43,Oldsmobile,1
1959,Lee Petty,42,Oldsmobile,3
1959,Lee Petty,42,Plymouth,7
1960,Rex White,74,Chevrolet,0
1960,Rex White,4,Chevrolet,6
1960,Rex White,15,Ford,0
1960,Rex White,41,Ford,0
1961,Ned Jarrett,11,Chevrolet,1
1961,Ned Jarrett,11,Ford,0
1962,Joe Weatherly,8,Pontiac,9
1963,Joe Weatherly,88,Chrysler,0
1963,Joe Weatherly,36,Dodge,0
1963,Joe Weatherly,361,Dodge,0
1963,Joe Weatherly,8,Mercury,0
1963,Joe Weatherly,41,Plymouth,0
1963,Joe Weatherly,2,Pontiac,0
1963,Joe Weatherly,5,Pontiac,0
1963,Joe Weatherly,17,Pontiac,0
1963,Joe Weatherly,57,Pontiac,0
1963,Joe Weatherly,83,Pontiac,0
1963,Joe Weatherly,8,Pontiac,3
1964,Richard Petty,42,Plymouth,0
1964,Richard Petty,41,Plymouth,1
1964,Richard Petty,43,Plymouth,8
1965,Ned Jarrett,25,Ford,0
1965,Ned Jarrett,11,Ford,13
1966,David Pearson,6,Dodge,15
1967,Richard Petty,43,Plymouth,27
1968,David Pearson,84,Ford,0
1968,David Pearson,17,Ford,16
1969,David Pearson,17,Ford,11
1970,Bobby Isaac,71,Dodge,11
1971,Richard Petty,43,Plymouth,21
1972,Richard Petty,43,Dodge,1
1972,Richard Petty,43,Plymouth,7
1973,Benny Parsons,72,Chevrolet,1
1973,Benny Parsons,72,Mercury,0
1974,Richard Petty,43,Dodge,10
1975,Richard Petty,43,Dodge,13
1976,Cale Yarborough,11,Chevrolet,9
1977,Cale Yarborough,11,Chevrolet,9
1978,Cale Yarborough,11,Oldsmobile,10
1979,Richard Petty,43,Chevrolet,4
1979,Richard Petty,43,Oldsmobile,1
1980,Dale Earnhardt,2,Chevrolet,5
1980,Dale Earnhardt,2,Oldsmobile,0
1981,Darrell Waltrip,11,Buick,12
1981,Darrell Waltrip,11,Chevrolet,0
1982,Darrell Waltrip,11,Buick,12
1983,Bobby Allison,22,Buick,5
1983,Bobby Allison,22,Chevrolet,1
1984,Terry Labonte,44,Chevrolet,2
1985,Darrell Waltrip,11,Chevrolet,3
1986,Dale Earnhardt,3,Chevrolet,5
1987,Dale Earnhardt,3,Chevrolet,11
1988,Bill Elliott,9,Ford,6
1989,Rusty Wallace,27,Pontiac,6
1990,Dale Earnhardt,3,Chevrolet,9
1991,Dale Earnhardt,3,Chevrolet,4
1992,Alan Kulwicki,7,Ford,2
1993,Dale Earnhardt,3,Chevrolet,6
1994,Dale Earnhardt,3,Chevrolet,4
1995,Jeff Gordon,24,Chevrolet,7
1996,Terry Labonte,5,Chevrolet,2
1997,Jeff Gordon,24,Chevrolet,10
1998,Jeff Gordon,24,Chevrolet,13
1999,Dale Jarrett,88,Ford,4
2000,Bobby Labonte,18,Pontiac,4
2001,Jeff Gordon,24,Chevrolet,6
2002,Tony Stewart,20,Pontiac,3
2003,Matt Kenseth,17,Ford,1
2004,Kurt Busch,97,Ford,3
2005,Tony Stewart,20,Chevrolet,5
2006,Jimmie Johnson,48,Chevrolet,5
2007,Jimmie Johnson,48,Chevrolet,10
2008,Jimmie Johnson,48,Chevrolet,7
2009,Jimmie Johnson,48,Chevrolet,7
2010,Jimmie Johnson,48,Chevrolet,6
2011,Tony Stewart,14,Chevrolet,5
2012,Brad Keselowski,2,Dodge,5
2013,Jimmie Johnson,48,Chevrolet,6
2014,Kevin Harvick,4,Chevrolet,5
2015,Kyle Busch,18,Toyota,5
2016,Jimmie Johnson,48,Chevrolet,5
